weird_dates,height,depth,date
736453.7924,3.431787345,0,'03-May-2016 19:00:59.999'
736453.8132,3.426665288,0,'03-May-2016 19:30:59.999'
736453.8368,3.426665288,0,'03-May-2016 20:05:00.000'
736453.8549,3.426665288,0,'03-May-2016 20:30:59.999'
736453.8757,3.431787345,0,'03-May-2016 21:00:59.999'
736453.9174,3.431787345,0,'03-May-2016 22:00:59.999'
736453.959,3.431787345,0,'03-May-2016 23:01:00.000'
736454.0007,3.431787345,0,'04-May-2016 00:00:59.999'
736454.0424,3.431787345,0,'04-May-2016 01:00:59.999'
736454.084,3.431787345,0,'04-May-2016 02:01:00.000'
736454.1257,3.431787345,0,'04-May-2016 03:00:59.999'
736454.1674,3.431787345,0,'04-May-2016 04:00:59.999'
736454.209,3.431787345,0,'04-May-2016 05:01:00.000'
736454.2507,3.426665288,0,'04-May-2016 06:00:59.999'
736454.2924,3.426665288,0,'04-May-2016 07:00:59.999'
736454.334,3.426665288,0,'04-May-2016 08:01:00.000'
736454.3549,3.426665288,0,'04-May-2016 08:30:59.999'
736454.3771,3.426665288,0,'04-May-2016 09:02:59.999'
736454.3965,3.426665288,0,'04-May-2016 09:31:00.000'
736454.4174,3.426665288,0,'04-May-2016 10:00:59.999'
736454.4382,3.426665288,0,'04-May-2016 10:30:59.999'
736454.459,3.426665288,0,'04-May-2016 11:01:00.000'
736454.4813,3.431787345,0,'04-May-2016 11:33:00.000'
736454.5007,3.426665288,0,'04-May-2016 12:00:59.999'
736454.5229,3.426665288,0,'04-May-2016 12:33:00.000'
736454.5424,3.426665288,0,'04-May-2016 13:00:59.999'
736454.5632,3.426665288,0,'04-May-2016 13:30:59.999'
736454.584,3.431787345,0,'04-May-2016 14:01:00.000'
736454.6049,3.431787345,0,'04-May-2016 14:30:59.999'
736454.6257,3.426665288,0,'04-May-2016 15:00:59.999'
736454.6465,3.426665288,0,'04-May-2016 15:31:00.000'
736454.6674,3.431787345,0,'04-May-2016 16:00:59.999'
736454.6882,3.431787345,0,'04-May-2016 16:30:59.999'
736454.709,3.431787345,0,'04-May-2016 17:01:00.000'
736454.7313,3.431787345,0,'04-May-2016 17:33:00.000'
736454.7521,3.426665288,0,'04-May-2016 18:02:59.999'
736454.7729,3.426665288,0,'04-May-2016 18:33:00.000'
736454.7924,3.426665288,0,'04-May-2016 19:00:59.999'
736454.8132,3.426665288,0,'04-May-2016 19:30:59.999'
736454.8354,3.426665288,0,'04-May-2016 20:03:00.000'
736454.8549,3.431787345,0,'04-May-2016 20:30:59.999'
736454.8757,3.431787345,0,'04-May-2016 21:00:59.999'
736454.9174,3.426665288,0,'04-May-2016 22:00:59.999'
736454.959,3.431787345,0,'04-May-2016 23:01:00.000'
736455.0007,3.431787345,0,'05-May-2016 00:00:59.999'
736455.0424,3.431787345,0,'05-May-2016 01:00:59.999'
736455.084,3.431787345,0,'05-May-2016 02:01:00.000'
736455.1257,3.431787345,0,'05-May-2016 03:00:59.999'
736455.1674,3.431787345,0,'05-May-2016 04:00:59.999'
736455.209,3.431787345,0,'05-May-2016 05:01:00.000'
736455.2507,3.426665288,0,'05-May-2016 06:00:59.999'
736455.2924,3.426665288,0,'05-May-2016 07:00:59.999'
736455.3389,3.426665288,0,'05-May-2016 08:08:00.000'
736455.3549,3.426665288,0,'05-May-2016 08:30:59.999'
736455.3771,3.431787345,0,'05-May-2016 09:02:59.999'
736455.3979,3.426665288,0,'05-May-2016 09:33:00.000'
736455.4188,3.426665288,0,'05-May-2016 10:03:00.000'
736455.4396,3.426665288,0,'05-May-2016 10:32:59.999'
736455.459,3.426665288,0,'05-May-2016 11:01:00.000'
736455.4799,3.426665288,0,'05-May-2016 11:30:59.999'
736455.5007,3.426665288,0,'05-May-2016 12:00:59.999'
736455.5215,3.426665288,0,'05-May-2016 12:31:00.000'
736455.5424,3.426665288,0,'05-May-2016 13:00:59.999'
736455.5632,3.431787345,0,'05-May-2016 13:30:59.999'
736455.584,3.431787345,0,'05-May-2016 14:01:00.000'
736455.6049,3.426665288,0,'05-May-2016 14:30:59.999'
736455.6257,3.426665288,0,'05-May-2016 15:00:59.999'
736455.6479,3.426665288,0,'05-May-2016 15:33:00.000'
736455.6674,3.426665288,0,'05-May-2016 16:00:59.999'
736455.6882,3.426665288,0,'05-May-2016 16:30:59.999'
736455.709,3.431787345,0,'05-May-2016 17:01:00.000'
736455.7299,3.431787345,0,'05-May-2016 17:30:59.999'
736455.7507,3.426665288,0,'05-May-2016 18:00:59.999'
736455.7715,3.426665288,0,'05-May-2016 18:31:00.000'
736455.7924,3.426665288,0,'05-May-2016 19:00:59.999'
736455.8146,3.426665288,0,'05-May-2016 19:32:59.999'
736455.834,3.426665288,0,'05-May-2016 20:01:00.000'
736455.8549,3.426665288,0,'05-May-2016 20:30:59.999'
736455.8757,3.426665288,0,'05-May-2016 21:00:59.999'
736455.9174,3.426665288,0,'05-May-2016 22:00:59.999'
736455.959,3.431787345,0,'05-May-2016 23:01:00.000'
736456.0007,3.431787345,0,'06-May-2016 00:00:59.999'
736456.0424,3.431787345,0,'06-May-2016 01:00:59.999'
736456.084,3.431787345,0,'06-May-2016 02:01:00.000'
736456.1257,3.431787345,0,'06-May-2016 03:00:59.999'
736456.1674,3.431787345,0,'06-May-2016 04:00:59.999'
736456.209,3.426665288,0,'06-May-2016 05:01:00.000'
736456.2507,3.426665288,0,'06-May-2016 06:00:59.999'
736456.2951,3.426665288,0,'06-May-2016 07:05:00.000'
736456.334,3.426665288,0,'06-May-2016 08:01:00.000'
736456.3563,3.426665288,0,'06-May-2016 08:33:00.000'
736456.3771,3.426665288,0,'06-May-2016 09:02:59.999'
736456.3979,3.426665288,0,'06-May-2016 09:33:00.000'
736456.4174,3.426665288,0,'06-May-2016 10:00:59.999'
736456.4382,3.426665288,0,'06-May-2016 10:30:59.999'
736456.4604,3.431787345,0,'06-May-2016 11:03:00.000'
736456.4799,3.426665288,0,'06-May-2016 11:30:59.999'
736456.5007,3.426665288,0,'06-May-2016 12:00:59.999'
736456.5215,3.426665288,0,'06-May-2016 12:31:00.000'
736456.5424,3.426665288,0,'06-May-2016 13:00:59.999'
736456.5632,3.426665288,0,'06-May-2016 13:30:59.999'
736456.584,3.426665288,0,'06-May-2016 14:01:00.000'
736456.6063,3.426665288,0,'06-May-2016 14:33:00.000'
736456.6271,3.421543231,0,'06-May-2016 15:02:59.999'
736456.6465,3.426665288,0,'06-May-2016 15:31:00.000'
736456.6674,3.426665288,0,'06-May-2016 16:00:59.999'
736456.6882,3.431787345,0,'06-May-2016 16:30:59.999'
736456.709,3.431787345,0,'06-May-2016 17:01:00.000'
736456.7313,3.431787345,0,'06-May-2016 17:33:00.000'
736456.7507,3.426665288,0,'06-May-2016 18:00:59.999'
736456.7715,3.426665288,0,'06-May-2016 18:31:00.000'
736456.7924,3.426665288,0,'06-May-2016 19:00:59.999'
736456.8132,3.426665288,0,'06-May-2016 19:30:59.999'
736456.8354,3.426665288,0,'06-May-2016 20:03:00.000'
736456.8549,3.426665288,0,'06-May-2016 20:30:59.999'
736456.8771,3.426665288,0,'06-May-2016 21:02:59.999'
736456.9188,3.426665288,0,'06-May-2016 22:03:00.000'
736456.959,3.426665288,0,'06-May-2016 23:01:00.000'
736457.0007,3.426665288,0,'07-May-2016 00:00:59.999'
736457.0424,3.426665288,0,'07-May-2016 01:00:59.999'
736457.084,3.426665288,0,'07-May-2016 02:01:00.000'
736457.1271,3.426665288,0,'07-May-2016 03:02:59.999'
736457.1688,3.426665288,0,'07-May-2016 04:03:00.000'
736457.2104,3.426665288,0,'07-May-2016 05:03:00.000'
