depth_m;temperature_degC
"24.7;-16.2478117152462"
"24.8;-16.2471096990557"
"24.9;-16.2464076828652"
"25;-16.2457056666747"
"25.1;-16.2450036504842"
"25.2;-16.2443016342937"
"25.3;-16.2435996181032"
"25.4;-16.2428976019127"
"25.5;-16.2421955857222"
"25.6;-16.2414935695317"
"25.7;-16.2407915533412"
"25.8;-16.2400895371507"
"25.9;-16.2393875209602"
"26;-16.2386855047697"
"26.1;-16.2379834885792"
"26.2;-16.2372814723887"
"26.3;-16.2365794561982"
"26.4;-16.2358774400077"
"26.5;-16.2351754238172"
"26.6;-16.2344734076267"
"26.7;-16.2337713914362"
"26.8;-16.2330693752457"
"26.9;-16.2323673590552"
"27;-16.2316653428647"
"27.1;-16.2309633266742"
"27.2;-16.2302613104837"
"27.3;-16.2295592942932"
"27.4;-16.2288572781027"
"27.5;-16.2281552619122"
"27.6;-16.2274532457217"
"27.7;-16.2267512295312"
"27.8;-16.2260492133407"
"27.9;-16.2253471971502"
"28;-16.2246451809597"
"28.1;-16.2239431647692"
"28.2;-16.2232411485787"
"28.3;-16.2225391323882"
"28.4;-16.2218371161977"
"28.5;-16.2211351000072"
"28.6;-16.2204330838167"
"28.7;-16.2197310676262"
"28.8;-16.2190290514357"
"28.9;-16.2183270352452"
"29;-16.2176250190547"
"29.1;-16.2169230028642"
"29.2;-16.2162209866737"
"29.3;-16.2155189704832"
"29.4;-16.2148169542927"
"29.5;-16.2141149381022"
"29.6;-16.2134129219117"
"29.7;-16.2127109057212"
"29.8;-16.2120088895307"
"29.9;-16.2113068733402"
"30;-16.2106048571497"
"30.1;-16.2099028409592"
"30.2;-16.2092008247687"
"30.3;-16.2084988085782"
"30.4;-16.2077967923877"
"30.5;-16.2070947761972"
"30.6;-16.2063927600067"
"30.7;-16.2056907438162"
"30.8;-16.2049887276257"
"30.9;-16.2042867114352"
"31;-16.2035846952447"
"31.1;-16.2028826790542"
"31.2;-16.2021806628637"
"31.3;-16.2014786466732"
"31.4;-16.2007766304827"
"31.5;-16.2000746142922"
"31.6;-16.1993725981018"
"31.7;-16.1986705819113"
"31.8;-16.1979685657208"
"31.9;-16.1972665495303"
"32;-16.1965645333398"
"32.1;-16.1958625171493"
"32.2;-16.1951605009588"
"32.3;-16.1944584847683"
"32.4;-16.1937564685778"
"32.5;-16.1930544523873"
"32.6;-16.1923524361968"
"32.7;-16.1916504200063"
"32.8;-16.1909484038158"
"32.9;-16.1902463876253"
"33;-16.1895443714348"
"33.1;-16.1888423552443"
"33.2;-16.1881403390538"
"33.3;-16.1874383228633"
"33.4;-16.1867363066728"
"33.5;-16.1860342904823"
"33.6;-16.1853322742918"
"33.7;-16.1846302581013"
"33.8;-16.1839282419108"
"33.9;-16.1832262257203"
"34;-16.1825242095298"
"34.1;-16.1818221933393"
"34.2;-16.1811201771488"
"34.3;-16.1804181609583"
"34.4;-16.1797161447678"
"34.5;-16.1790141285773"
"34.6;-16.1783121123868"
"34.7;-16.1776100961963"
"34.8;-16.1769080800058"
"34.9;-16.1762060638153"
"35;-16.1755040476248"
"35.1;-16.1748020314343"
"35.2;-16.1741000152438"
"35.3;-16.1733979990533"
"35.4;-16.1726959828628"
"35.5;-16.1719939666723"
"35.6;-16.1712919504818"
"35.7;-16.1705899342913"
"35.8;-16.1698879181008"
"35.9;-16.1691859019103"
"36;-16.1684838857198"
"36.1;-16.1677818695293"
"36.2;-16.1670798533388"
"36.3;-16.1663778371483"
"36.4;-16.1656758209578"
"36.5;-16.1649738047673"
"36.6;-16.1642717885768"
"36.7;-16.1635697723863"
"36.8;-16.1628677561958"
"36.9;-16.1621657400053"
"37;-16.1614637238148"
"37.1;-16.1607617076243"
