depth_m;density_kgm3
"9.6;694.822491410266"
"9.7;632.432190798626"
"9.8;658.20192353066"
"9.9;718.3312999054"
"10;699.648243674677"
"10.1;656.054445802989"
"10.2;688.097881325142"
"10.3;762.865897543496"
"10.4;763.193132244855"
"10.5;764.502071050291"
"10.6;755.912160139614"
"10.7;721.552516496904"
"10.8;707.880241630742"
"10.9;653.191142166096"
"11;709.741388994723"
"11.1;709.741388994723"
"11.2;754.003291048352"
"11.3;754.003291048352"
"11.4;730.285592589426"
"11.5;694.709044901037"
"11.6;739.337536586965"
"11.7;803.236837846476"
"11.8;791.063092768944"
"11.9;791.063092768944"
"12;745.68678751218"
"12.1;700.310482255417"
"12.2;719.534563646254"
"12.3;796.430889209598"
"12.4;796.430889209598"
"12.5;766.087663365837"
"12.6;766.087663365837"
"12.7;717.014968066787"
"12.8;717.014968066786"
"12.9;816.811804823181"
"13;816.811804823181"
"13.1;642.462802487043"
"13.2;652.87408961475"
"13.3;659.814947699888"
"13.4;677.277637407329"
"13.5;688.919430545622"
"13.6;677.763012107822"
"13.7;670.325399815954"
"13.8;710.090465906732"
"13.9;736.600509967249"
"14;705.79832265703"
"14.1;662.935598012755"
"14.2;610.837087436451"
"14.3;621.298640304873"
"14.4;645.708930331188"
"14.5;683.208716098094"
"14.6;770.708216220878"
"14.7;780.120630739966"
"14.8;802.082931284505"
"14.9;773.033075453855"
"15;708.708660990271"
"15.1;739.835903261645"
"15.2;735.77582818277"
"15.3;699.235152472896"
"15.4;700.066161991964"
"15.5;707.545247663576"
"15.6;708.054291312207"
"15.7;710.090465906731"
"15.8;709.767084301978"
"15.9;708.473557882964"
"16;761.060119197026"
"16.1;766.903070454144"
"16.2;786.271858048413"
"16.3;788.423945558888"
"16.4;820.442918035589"
"16.5;841.788899686725"
"16.6;857.994808778027"
"16.7;868.798748172229"
"16.8;853.179322582156"
"16.9;846.485283043554"
"17;800.749228244128"
"17.1;770.258525044513"
"17.2;776.444449815206"
"17.3;801.188148897976"
"17.4;805.879791211343"
"17.5;824.646360464809"
"17.6;834.307704106541"
"17.7;856.850839270579"
"17.8;856.850839270579"
"17.9;823.875528157511"
"18;802.874138063677"
"18.1;801.533369454062"
"18.2;800.070246795521"
"18.3;795.135892850526"
"18.4;793.021169731243"
"18.5;827.153897799183"
"18.6;849.909049844475"
"18.7;826.793195577525"
"18.8;812.291070519133"
"18.9;813.416852296384"
"19;814.531404810717"
"19.1;858.409820368128"
"19.2;887.146148167917"
"19.3;897.815040626714"
"19.4;902.387423109055"
"19.5;861.426729614685"
"19.6;834.11960061844"
"19.7;836.656055451391"
"19.8;838.347025340025"
"19.9;823.269191628364"
"20;813.217302487257"
"20.1;818.761965913307"
"20.2;822.45840819734"
"20.3;845.127117976788"
"20.4;854.842279310836"
"20.5;850.361685313554"
"20.6;847.374622648699"
"20.7;819.670120352954"
"20.8;801.200452155791"
"20.9;800.112844164966"
"21;798.481432178727"
"21.1;841.166354841298"
"21.2;905.193738835155"
"21.3;879.302995597414"
"21.4;843.563819512803"
"21.5;871.436268460777"
"21.6;868.742203255297"
"21.7;844.495616405975"
"21.8;840.070722986679"
"21.9;800.24668221302"
"22;800.24668221302"
"22.1;820.973216827702"
"22.2;826.154850481372"
"22.3;841.582541315513"
"22.4;846.127052817408"
"22.5;869.422508592956"
"22.6;875.13271074481"
"22.7;882.857321480074"
"22.8;884.788474163891"
"22.9;841.086165555674"
"23;782.418316341389"
"23.1;847.374622648699"
"23.2;842.583156065802"
"23.3;835.395956191455"
"23.4;842.624815898113"
"23.5;853.932128201349"
"23.6;854.595570815716"
"23.7;854.802278182629"
"23.8;873.654133831198"
"23.9;901.931917304049"
"24;884.777931139081"
"24.1;859.04695189163"
"24.2;859.046951891631"
"24.3;853.344603266994"
"24.4;844.791080330039"
"24.5;844.791080330039"
"24.6;860.676465130589"
"24.7;861.23945089796"
"24.8;861.794312709058"
"24.9;862.341104103653"
"25;862.879878621515"
"25.1;863.410689802413"
"25.2;863.933591186118"
"25.3;864.448636312398"
"25.4;875.907878048638"
"25.5;883.309934160019"
"25.6;872.95086194496"
"25.7;866.431325038674"
"25.8;883.534784143301"
"25.9;894.713987042481"
"26;844.592617861617"
"26.1;811.178371741043"
"26.2;849.965184467291"
"26.3;875.823059618122"
"26.4;869.864186868085"
"26.5;865.891605034727"
"26.6;873.527803903048"
"26.7;878.618603148595"
"26.8;890.039397372374"
"26.9;897.653260188225"
"27;855.665479502401"
"27.1;827.673625711853"
"27.2;819.523029632158"
"27.3;814.089298912362"
"27.4;822.609206341881"
"27.5;828.289144628226"
"27.6;858.032361842267"
"27.7;877.861173318295"
"27.8;877.582801560007"
"27.9;875.257659525575"
"28;875.112811054319"
"28.1;871.04430484559"
"28.2;871.058298191536"
"28.3;871.184238305047"
"28.4;871.184238305047"
"28.5;849.49024999909"
"28.6;847.079806853983"
"28.7;865.418648033296"
"28.8;867.45629705322"
