depth_m;density_kgm3
"33.5;656.2"
"33.6;656.2"
"33.7;656.2"
"33.8;656.2"
"33.9;656.2"
"34;656.2"
"34.1;656.2"
"34.2;656.2"
"34.3;656.2"
"34.4;657.64"
"34.5;663.4"
"34.6;663.4"
"34.7;663.4"
"34.8;663.4"
"34.9;663.4"
"35;663.4"
"35.1;663.4"
"35.2;663.4"
"35.3;663.4"
"35.4;663.4"
"35.5;670.5999"
"35.6;670.5999"
"35.7;670.5999"
"35.8;670.5999"
"35.9;670.5999"
"36;670.5999"
"36.1;670.5999"
"36.2;670.5999"
"36.3;670.5999"
"36.4;670.5999"
"36.5;670.5999"
"36.6;672.74493"
"36.7;677.75"
"36.8;677.75"
"36.9;677.75"
"37;677.75"
"37.1;677.75"
"37.2;677.75"
"37.3;677.75"
"37.4;677.75"
"37.5;677.75"
"37.6;677.75"
"37.7;682.4"
"37.8;685.5"
"37.9;685.5"
"38;685.5"
"38.1;685.5"
"38.2;685.5"
"38.3;685.5"
"38.4;685.5"
"38.5;685.5"
"38.6;685.5"
"38.7;685.5"
"38.8;687.61491"
"38.9;687.8499"
"39;687.8499"
"39.1;687.8499"
"39.2;687.8499"
"39.3;687.8499"
"39.4;687.8499"
"39.5;687.8499"
"39.6;687.8499"
"39.7;687.8499"
"39.8;689.76998"
"39.9;690.25"
"40;690.25"
"40.1;690.25"
"40.2;690.25"
"40.3;690.25"
"40.4;690.25"
"40.5;690.25"
"40.6;690.25"
"40.7;690.25"
"40.8;694.34491"
"40.9;694.7999"
"41;694.7999"
"41.1;694.7999"
"41.2;694.7999"
"41.3;694.7999"
"41.4;694.7999"
"41.5;694.7999"
"41.6;694.7999"
"41.7;694.7999"
"41.8;694.7999"
"41.9;697.95998"
"42;698.75"
"42.1;698.75"
"42.2;698.75"
"42.3;698.75"
"42.4;698.75"
"42.5;698.75"
"42.6;698.75"
"42.7;698.75"
"42.8;698.75"
"42.9;700.1"
"43;701"
"43.1;701"
"43.2;701"
"43.3;701"
"43.4;701"
"43.5;701"
"43.6;701"
"43.7;701"
"43.8;701"
"43.9;703.385"
"44;708.95"
"44.1;708.95"
"44.2;708.95"
"44.3;708.95"
"44.4;708.95"
"44.5;708.95"
"44.6;708.95"
"44.7;708.95"
"44.8;708.95"
"44.9;715.969999999999"
"45;720.65"
